N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,000","2,700",+3.45%,100,"4,835,524","5,969,783",55.73,"22,903,079",22.12,8.69,
2,SK하이닉스,"118,000","2,000",+1.72%,"5,000","859,043","728,002",49.65,"2,910,235",29.93,4.25,
3,삼성전자우,"73,600","1,400",+1.94%,100,"605,645","822,887",81.94,"3,178,888",20.10,N/A,
4,LG화학,"819,000","6,000",+0.74%,"5,000","578,151","70,592",42.40,"216,038",76.52,1.84,
5,삼성바이오로직스,"829,000","7,000",+0.85%,"2,500","548,508","66,165",10.46,"120,899",154.35,4.77,
6,셀트리온,"359,000","1,500",-0.42%,"1,000","484,642","134,998",21.09,"1,785,448",97.03,11.19,
7,NAVER,"292,000","9,000",+3.18%,100,"479,649","164,263",55.64,"992,751",58.13,10.56,
8,삼성SDI,"625,000","24,000",+3.99%,"5,000","429,778","68,765",44.36,"371,376",213.24,2.94,
9,현대차,"192,000","1,500",+0.79%,"5,000","410,243","213,668",30.53,"960,126",45.88,4.32,
10,카카오,"389,000","4,500",+1.17%,500,"344,018","88,437",32.17,"695,676",-431.74,-5.81,
11,삼성물산,"138,000","1,500",+1.10%,100,"257,904","186,887",14.03,"593,786",23.12,4.77,
12,기아차,"62,500",200,+0.32%,"5,000","253,352","405,363",37.30,"1,233,299",29.04,6.50,
13,LG생활건강,"1,618,000","1,000",-0.06%,"5,000","252,702","15,618",45.52,"17,268",36.25,20.32,
14,현대모비스,"256,500","5,500",+2.19%,"5,000","243,815","95,055",43.12,"377,718",15.64,7.28,
15,POSCO,"273,500","3,500",+1.30%,"5,000","238,456","87,187",50.60,"224,496",25.05,4.18,
16,LG전자,"135,000","3,500",+2.66%,"5,000","220,925","163,648",36.12,"1,094,028",29.32,0.22,
17,엔씨소프트,"932,000","19,000",+2.08%,500,"204,611","21,954",48.68,"91,158",36.47,14.72,
18,SK텔레콤,"238,000",500,+0.21%,500,"192,175","80,746",33.93,"179,294",17.53,3.92,
19,KB금융,"43,300",100,-0.23%,"5,000","180,045","415,808",65.32,"1,428,432",5.28,8.92,
20,한국전력,"27,600","1,200",+4.55%,"5,000","177,182","641,964",17.13,"8,460,423",191.67,-3.42,
21,SK이노베이션,"190,000","7,000",+3.83%,"5,000","175,685","92,466",24.26,"706,525",-7.23,-0.20,
22,SK,"239,500","4,000",+1.70%,200,"168,513","70,360",21.41,"150,114","1,010.55",4.31,
23,신한지주,"32,000",0,0.00%,"5,000","165,289","516,527",57.04,"1,724,562",4.59,9.09,
24,삼성생명,"78,700",400,-0.51%,500,"157,400","200,000",11.98,"693,152",15.81,3.26,
25,LG,"87,800","1,800",+2.09%,"5,000","151,505","172,557",34.12,"402,687",12.41,5.87,
26,삼성에스디에스,"178,500","1,000",+0.56%,500,"138,119","77,378",11.50,"143,654",26.35,11.76,
27,삼성전기,"178,500","1,500",+0.85%,"5,000","133,328","74,694",34.25,"485,391",36.57,10.18,
28,SK바이오팜,"169,000","1,000",+0.60%,500,"132,349","78,313",5.13,"146,974",-153.64,-313.66,
29,아모레퍼시픽,"207,000",500,+0.24%,500,"121,009","58,458",32.24,"113,631",332.80,5.36,
30,KT&G,"82,500",800,-0.96%,"5,000","113,266","137,292",40.17,"696,838",11.51,12.39,
31,넷마블,"131,000","5,000",+3.97%,100,"112,457","85,845",22.58,"432,574",53.06,3.54,
32,하나금융지주,"34,100",0,0.00%,"5,000","102,383","300,242",64.91,"1,383,772",4.17,8.77,
33,롯데케미칼,"276,000","11,500",+4.35%,"5,000","94,600","34,275",26.25,"348,856",81.58,5.51,
34,삼성화재,"187,500",500,-0.27%,500,"88,828","47,375",44.47,"96,381",13.71,4.85,
35,한온시스템,"16,200",250,+1.57%,100,"86,476","533,800",20.41,"838,227",61.60,14.98,
36,S-Oil,"68,800",800,+1.18%,"2,500","77,457","112,583",75.71,"229,436",-9.22,1.01,
37,한국조선해양,"108,000","1,000",+0.93%,"5,000","76,435","70,773",16.31,"235,536",357.62,1.40,
38,한화솔루션,"47,750",250,+0.53%,"5,000","76,335","159,864",19.18,"2,068,322",-84.96,-4.02,
39,고려아연,"400,500","2,500",-0.62%,"5,000","75,574","18,870",23.63,"44,212",13.49,9.76,
40,우리금융지주,"9,690",0,0.00%,"5,000","69,988","722,268",24.86,"1,481,451",5.20,N/A,
41,현대글로비스,"184,000","5,000",+2.79%,500,"69,000","37,500",35.38,"288,682",10.34,11.25,
42,LG디스플레이,"18,550",50,-0.27%,"5,000","66,375","357,816",23.54,"2,392,877",-2.70,-22.35,
43,신풍제약,"124,500","4,000",+3.32%,500,"65,966","52,985",12.03,"2,545,076","3,458.33",0.80,
44,기업은행,"8,820",60,-0.68%,"5,000","65,150","738,664",10.04,"3,374,826",4.50,7.36,
45,포스코케미칼,"104,000","1,000",-0.95%,500,"63,428","60,988",7.36,"259,826",236.36,11.57,
46,KT,"23,950",250,-1.03%,"5,000","62,536","261,112",43.97,"1,986,885",10.20,4.61,
47,미래에셋대우,"9,420",130,+1.40%,"5,000","60,789","645,316",14.16,"1,658,915",9.84,7.56,
48,CJ제일제당,"382,500",500,-0.13%,"5,000","57,582","15,054",24.19,"56,544",7.94,3.16,
49,빅히트,"161,000","2,500",+1.58%,500,"57,354","35,624",3.54,"91,353",N/A,56.47,
50,KODEX 200,"39,465",780,+2.02%,0,"56,336","142,750",23.36,"9,561,297",N/A,N/A,
51,코웨이,"72,300",700,+0.98%,500,"53,357","73,800",60.37,"149,227",14.94,30.74,
52,현대제철,"39,600",100,+0.25%,"5,000","52,845","133,446",19.37,"811,182",-21.45,0.10,
53,LG유플러스,"11,700",0,0.00%,"5,000","51,084","436,611",30.20,"1,481,126",6.45,6.30,
54,한미사이언스,"76,900","2,800",+3.78%,500,"50,763","66,011",1.74,"1,122,097",349.55,4.73,
55,두산중공업,"13,450",400,+3.07%,"5,000","50,389","374,637",11.17,"2,769,905",-2.90,-14.73,
56,강원랜드,"23,450",0,0.00%,500,"50,169","213,940",22.24,"481,891",-26.41,9.16,
57,유한양행,"74,600",700,+0.95%,"1,000","49,875","66,857",20.72,"317,482",28.74,2.43,
58,오리온,"123,500","1,000",+0.82%,500,"48,827","39,536",41.88,"45,158",17.84,14.24,
59,한국타이어앤테크놀로지,"39,350",150,-0.38%,500,"48,745","123,875",38.60,"184,949",18.94,6.03,
60,녹십자,"407,000","19,000",+4.90%,"5,000","47,564","11,687",19.43,"720,050",109.17,-0.35,
61,대한항공,"27,100",200,+0.74%,"5,000","47,211","174,210",12.28,"1,197,529",-6.18,-22.09,
62,SK케미칼,"391,000","10,500",-2.62%,"5,000","45,909","11,741",18.01,"248,812",17.84,1.51,
63,아모레G,"54,900",100,+0.18%,500,"45,270","82,458",19.54,"82,577",193.99,4.12,
64,HMM,"13,800",50,+0.36%,"5,000","45,088","326,726",6.89,"5,288,235",-44.52,-55.46,
65,현대중공업지주,"282,500","8,000",-2.75%,"5,000","44,631","15,799",17.15,"108,954",-17.11,2.20,
66,금호석유,"145,500","3,000",+2.11%,"5,000","44,330","30,468",28.35,"199,065",12.45,11.84,
67,삼성중공업,"7,020",50,+0.72%,"5,000","44,226","630,000",15.32,"5,364,298",-3.54,-21.88,
68,한국금융지주,"79,200",100,+0.13%,"5,000","44,135","55,726",29.86,"287,688",7.25,18.14,
69,한미약품,"368,000","19,500",+5.60%,"2,500","43,582","11,843",13.77,"232,326","-3,572.82",7.30,
70,LG이노텍,"183,000",500,-0.27%,"5,000","43,311","23,667",33.53,"205,400",33.18,4.73,
71,이마트,"152,500","2,000",+1.33%,"5,000","42,511","27,876",31.47,"80,434",7.61,2.76,
72,한진칼,"63,200","2,400",+3.95%,"2,500","41,878","66,263",15.20,"204,445",-10.42,-17.56,
73,현대건설,"37,450","1,200",+3.31%,"5,000","41,703","111,356",18.75,"1,001,392",18.26,6.30,
74,삼성카드,"32,650",450,-1.36%,"5,000","37,828","115,859",10.17,"200,896",9.18,5.04,
75,CJ대한통운,"165,000","1,000",+0.61%,"5,000","37,640","22,812",21.03,"46,300",29.75,1.41,
76,맥쿼리인프라,"10,700",150,-1.38%,0,"37,348","349,044",14.40,"1,964,313",N/A,N/A,
77,롯데지주,"35,100",800,+2.33%,200,"36,823","104,909",11.16,"171,058",-5.14,-5.21,
78,삼성증권,"40,550",150,-0.37%,"5,000","36,211","89,300",25.06,"817,714",7.70,8.15,
79,SKC,"93,900",500,+0.54%,"5,000","35,558","37,868",7.72,"261,064",41.68,3.86,
80,GS,"37,700",400,+1.07%,"5,000","35,029","92,915",18.72,"173,689",-40.89,6.26,
81,두산퓨얼셀,"53,000",200,+0.38%,100,"34,712","65,494",14.16,"1,069,959",155.43,N/A,
82,동서,"33,850","1,000",+3.04%,500,"33,748","99,700",4.48,"271,314",24.41,10.53,
83,쌍용양회,"6,670",80,-1.19%,100,"33,607","503,860",2.83,"1,603,133",26.79,7.02,
84,현대차2우B,"89,800",0,0.00%,"5,000","32,764","36,485",60.98,"78,591",21.46,N/A,
85,호텔신라,"82,400","1,200",+1.48%,"5,000","32,340","39,248",20.45,"447,412",-25.01,20.16,
86,에스원,"84,900",100,-0.12%,500,"32,261","37,999",55.51,"41,705",22.34,11.32,
87,NH투자증권,"11,250",100,+0.90%,"5,000","31,658","281,409",14.57,"975,239",5.47,9.12,
88,더존비즈온,"103,500",0,0.00%,500,"31,160","30,106",45.75,"57,118",64.33,18.78,
89,DB손해보험,"43,750",100,+0.23%,500,"30,975","70,800",40.63,"91,237",5.57,6.92,
90,씨에스윈드,"178,500","10,500",+6.25%,500,"30,855","17,286",8.15,"275,397",62.24,9.92,
91,GS건설,"37,550","1,800",+5.03%,"5,000","30,107","80,179",27.43,"1,236,372",9.82,11.79,
92,키움증권,"126,500","2,500",+2.02%,"5,000","30,085","23,783",22.45,"163,654",5.58,16.97,
93,대웅,"50,700",200,-0.39%,500,"29,478","58,142",5.47,"1,559,409",58.41,10.43,
94,두산밥캣,"29,400",50,-0.17%,500,"29,473","100,249",20.54,"164,982",15.91,7.05,
95,LG화학우,"379,500","2,500",+0.66%,"5,000","29,179","7,689",60.26,"29,541",35.46,N/A,
96,대우조선해양,"27,050",100,+0.37%,"5,000","29,022","107,291",8.99,"318,709",16.65,-1.22,
97,롯데쇼핑,"102,500","2,000",+1.99%,"5,000","28,996","28,289",11.26,"209,497",-2.16,-8.14,
98,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
99,TIGER 200,"39,430",775,+2.00%,0,"28,725","72,850",7.15,"1,053,993",N/A,N/A,
100,한국가스공사,"30,900",550,+1.81%,"5,000","28,525","92,313",8.66,"418,570",-5.68,0.48,
101,만도,"59,400",500,+0.85%,"1,000","27,893","46,957",26.09,"553,786",-50.30,7.55,
102,CJ,"92,400","1,300",+1.43%,"5,000","26,960","29,177",19.57,"138,878",15.35,6.24,
103,GS리테일,"34,400",50,+0.15%,"1,000","26,488","77,000",14.16,"153,535",15.68,6.25,
104,팬오션,"4,950",70,+1.43%,"1,000","26,461","534,570",11.21,"3,349,451",19.57,5.49,
105,휠라홀딩스,"43,500",300,+0.69%,"1,000","26,427","60,752",47.21,"196,354",14.67,23.81,
106,현대오토에버,"124,000","7,500",+6.44%,500,"26,040","21,000",1.57,"354,267",45.31,11.71,
107,삼성엔지니어링,"13,150",200,+1.54%,"5,000","25,774","196,000",24.97,"1,455,820",10.09,24.62,
108,한국항공우주,"25,650",450,+1.79%,"5,000","25,002","97,475",14.01,"375,668",18.89,15.84,
109,메리츠증권,"3,665",10,-0.27%,"1,000","24,774","675,962",12.55,"3,584,219",4.59,15.06,
110,종근당,"227,500","11,000",+5.08%,"2,500","24,765","10,886",14.63,"1,188,584",26.99,11.94,
111,한샘,"104,000",0,0.00%,"1,000","24,475","23,534",23.34,"33,400",36.52,7.32,
112,신세계,"240,500","6,000",+2.56%,"5,000","23,678","9,845",24.80,"76,780",-7.73,14.24,
113,제일기획,"20,400",50,-0.24%,200,"23,468","115,041",32.23,"243,139",17.29,15.09,
114,일진머티리얼즈,"50,300",200,-0.40%,500,"23,194","46,111",7.80,"250,623",52.18,8.52,
115,BGF리테일,"134,000",500,+0.37%,"1,000","23,160","17,284",30.82,"17,776",17.70,26.46,
116,LS,"71,400",800,-1.11%,"5,000","22,991","32,200",11.95,"158,533",-991.67,0.80,
